Station,Files Processed,Rows,Duplicate Hours,Missing PM2.5
"Alipur, Delhi - DPCC",3,21260,0,0
"Anand Vihar, Delhi - DPCC",3,19530,0,0
"Ashok Vihar, Delhi - DPCC",3,21486,0,0
"Aya Nagar, Delhi - IITM",3,20858,0,0
"Burari Crossing, Delhi - IITM",3,20877,0,0
"CRRI Mathura Road, Delhi - IITM",3,19703,0,0
"Chandni Chowk, Delhi - IITM",3,14631,0,0
"DTU, Delhi - CPCB",3,20907,0,0
"Dr. Karni Singh Shooting Range, Delhi - DPCC",3,21403,0,0
"Dwarka-Sector 8, Delhi - DPCC",3,21656,0,0
"IHBAS, Dilshad Garden, Delhi - CPCB",3,20580,0,0
"ITO, Delhi - CPCB",3,20767,0,0
"Jahangirpuri, Delhi - DPCC",3,21017,0,0
"Jawaharlal Nehru Stadium, Delhi - DPCC",3,21177,0,0
"Mandir Marg, Delhi - DPCC",3,19101,0,0
"Mundka, Delhi - DPCC",3,21227,0,0
"NSIT Dwarka, Delhi - CPCB",3,20714,0,0
"Najafgarh, Delhi - DPCC",3,20708,0,0
"Narela, Delhi - DPCC",3,21635,0,0
"Nehru Nagar, Delhi - DPCC",3,21491,0,0
"North Campus, DU, Delhi - IITM",3,21343,0,0
"Okhla Phase-2, Delhi - DPCC",3,21347,0,0
"Patparganj, Delhi - DPCC",3,21501,0,0
"Punjabi Bagh, Delhi - DPCC",3,20845,0,0
"Pusa, Delhi - DPCC",3,21263,0,0
"R K Puram, Delhi - DPCC",3,20973,0,0
"Shadipur, Delhi - CPCB",3,20683,0,0
"Sonia Vihar, Delhi - DPCC",3,20990,0,0
"Sri Aurobindo Marg, Delhi - DPCC",3,21305,0,0
Unknown Station,90,622199,0,0
"Vivek Vihar, Delhi - DPCC",3,21221,0,0
